TIME,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2018/4/21 18:14,5284,2,85,31.46,4.34028,85,-172,1476950,0,30.31
2018/4/21 18:24,5284,2,85,31.46,4.34028,85,-172,1476950,0,30.31
2018/4/21 18:34,5284,2,85,31.41,4.34028,85,-172,1476950,0,30.26
2018/4/21 18:44,5284,2,85,31.39,4.34028,85,-172,1476950,0,30.21
2018/4/21 18:54,5284,2,85,31.36,4.34028,85,-172,1476950,0,30.21
2018/4/21 19:04,5284,2,85,31.34,4.34028,85,-154,1476950,0,30.19
2018/4/21 19:14,5284,2,85,31.31,4.34028,85,-154,1476950,0,30.14
2018/4/21 19:24,5284,2,85,31.27,4.34028,85,-202,1476950,0,30.11
2018/4/21 19:34,5284,2,85,31.27,4.34028,85,-172,1476950,0,30.09
2018/4/21 19:44,5284,2,85,31.24,4.34028,85,-190,1476950,0,30.06
2018/4/21 19:54,5284,2,85,31.24,4.34028,85,-154,1476950,0,30.04
2018/4/21 20:04,5284,2,85,31.19,4.34028,85,-154,1476950,0,30.01
2018/4/21 20:14,5284,2,85,31.19,4.34028,85,-172,1476950,0,30.01
2018/4/21 20:24,5284,2,85,31.17,4.34028,85,-118,1476950,0,30.01
2018/4/21 20:34,5284,2,85,31.12,4.34028,85,-100,1476950,0,29.97
2018/4/21 20:44,5284,2,85,31.09,4.34028,85,-64,1476950,0,29.94
2018/4/21 20:54,5284,2,85,31.09,4.34028,85,-46,1476950,0,29.94
2018/4/21 21:04,5284,2,85,31.07,4.34028,85,-100,1476950,0,29.92
2018/4/21 21:14,5284,2,85,31.04,4.34028,85,-292,1476950,0,29.92
2018/4/21 21:24,5284,2,85,31.04,4.34028,85,-412,1476950,0,29.92
2018/4/21 21:34,5284,2,85,31.02,4.34028,85,-484,1476950,0,29.89
2018/4/21 21:44,5284,2,85,31,4.34028,85,-412,1476950,0,29.87
2018/4/21 21:54,5284,2,85,30.97,4.34028,85,-376,1476950,0,29.84
2018/4/21 22:04,5284,2,85,30.92,4.34028,85,-274,1476950,0,29.84
2018/4/21 22:14,5284,2,85,30.92,4.34028,85,-220,1476950,0,29.79
2018/4/21 22:24,5284,2,85,30.9,4.34028,85,-172,1476950,0,29.77
2018/4/21 22:34,5284,2,85,30.87,4.34028,85,-202,1476950,0,29.77
2018/4/21 22:44,5284,2,85,30.87,4.34028,85,-190,1476950,0,29.74
2018/4/21 22:54,5284,2,85,30.85,4.34028,85,-136,1476950,0,29.72
2018/4/21 23:04,58,0,85,32.3,4.34028,85,-2722,1477020,0,29.77
2018/4/21 23:14,659,1,85,42.15,4.34028,85,-3088,1477640,0,36
2018/4/21 23:24,1254,1,85,49.96,4.34028,85,-3190,1478250,0,40.77
2018/4/21 23:34,1809,1,85,55.27,4.34028,85,-3292,1478850,0,43.85
2018/4/21 23:44,2201,1,85,60.14,4.34028,85,-3382,1479430,0,45.45
2018/4/21 23:54,2805,1,85,64.45,4.34028,85,-3436,1480080,0,46.83
2018/4/22 0:04,3403,1,85,68.35,4.34028,85,-3448,1480680,0,50.06
2018/4/22 0:14,4005,1,85,72.07,4.34028,85,-3502,1481300,0,51.37
2018/4/22 0:24,4604,1,85,75.33,4.34028,85,-3556,1481930,0,52.85
2018/4/22 0:34,5203,1,85,78.26,4.34028,85,-3622,1482530,0,55.34
2018/4/22 0:44,5806,1,85,80.93,4.34028,85,-3658,1483150,0,56.8
2018/4/22 0:54,6406,1,85,83.42,4.34028,85,-3730,1483780,0,57.47
2018/4/22 1:04,7002,1,85,85.53,4.34028,85,-3796,1484380,0,58.6
2018/4/22 1:14,7604,1,85,87.38,4.34028,85,-3850,1484970,0,60.27
2018/4/22 1:24,8204,1,85,88.93,4.34028,85,-3904,1485560,0,61.65
2018/4/22 1:34,8804,1,85,90.41,4.34028,85,-3970,1486140,0,63.24
2018/4/22 1:44,9406,1,85,91.9,4.34028,85,-4042,1486730,0,64.2
2018/4/22 1:54,10005,1,85,93.1,4.34028,85,-4096,1487320,0,64.7
2018/4/22 2:04,10606,1,85,94.17,4.34028,85,-4162,1487920,0,64.52
2018/4/22 2:14,11204,1,85,95.2,4.34028,85,-4252,1488530,0,64.77
2018/4/22 2:24,11802,1,85,96.13,4.34028,85,-4318,1489100,0,64.57
2018/4/22 2:34,12405,1,85,96.96,4.34028,85,-4390,1489700,0,64.57
